1,矽谷工程師爬蟲手冊：用Python成為進階高手,1,1
2,精通Python|運用簡單的套件進行現代運算,2,2
3,Python自學聖經：從程式素人到開發強者的技術與實戰大全！(附影音/範例程式),3,3
4,Python初學特訓班(第三版)：從快速入門到主流應用全面實戰(附250分鐘影音教學/範例程式),3,3
5,資料結構：使用Java,4,4
6,Java SE 12基礎必修課(適用Java 12~10，涵蓋OCJP與MTA Java國際認證),5,3
7,Visual C# 2019基礎必修課(適用2019/2017),5,3
8,Excel VBA經典程式碼：一行抵萬行「偷懶程式碼」應用大全 (下),6,5
9,iOS 13程式設計實戰- Swift 5.1/SwiftUI框架|快速上手的開發技巧200+,7,3
10,Android初學特訓班(第九版) (附影音/範例/機器學習教學與Kotlin開發入門電子書),3,3
